"uid","year","dam_pres","valley","litter_effect","sex","disp_yn","colony","cdp","allo","ac","index"
"190_2812",2003,1,"dv","1382_1397.2002","M",1,"bench",0,0,1,1
"2607_7075",2013,1,"dv","7034_7045.2012","F",0,"avalanche",1,0,1,2
"2633_2644",2003,1,"uv","2007_2008.2002","M",0,"mm",0,0,0,0
"2640_2627",2003,1,"dv","1382_1397.2002","F",0,"bench",0,0,0,0
"2652_2663",2003,1,"uv","2007_2008.2002","M",1,"mm",0,0,0,0
"2656_2671",2003,1,"uv","2007_2008.2002","F",1,"mm",0,0,0,0
"2682_2654",2003,1,"uv","2007_2008.2002","F",1,"mm",0,0,0,0
"2686_2690",2003,1,"uv","2111_2113.2002","F",0,"picnic",0,0,0,0
"2687_2651",2003,1,"uv","2007_2008.2002","F",0,"mm",0,0,1,1
"2693_2700",2003,1,"uv","931_932.2002","F",0,"picnic",0,0,0,0
"2694_2679",2003,1,"uv","2111_2113.2002","M",0,"picnic",0,0,0,0
"2698_2653",2003,1,"uv","37_247.2002","F",0,"picnic",0,1,0,1
"2701_3112",2003,1,"dv","2603_2606.2002","M",0,"river",0,0,0,0
"2702_2757",2003,1,"dv","272_273.2002","M",1,"river",0,0,0,0
"2707_3115",2003,1,"dv","1399_1400.2002","M",1,"river",0,0,0,0
"2713_3190",2003,1,"dv","278_279b.2002","M",1,"river",0,0,0,0
"2720_2749",2002,1,"uv","2111_2113.2001","F",0,"picnic",0,0,0,0
"2743_2857",2002,1,"uv","2111_2113.2001","M",1,"picnic",0,0,0,0
"2751_3109",2003,1,"dv","1399_1400.2002","M",0,"river",0,0,1,1
"2756_2763",2003,1,"dv","2603_2606.2002","F",1,"river",0,0,1,1
"2765_2723",2003,1,"dv","1399_1400.2002","F",0,"river",0,0,0,0
"2771_2779",2003,1,"uv","2007_2008.2002","F",1,"mm",0,0,0,0
"2787_2775",2003,1,"uv","2007_2008.2002","M",0,"mm",0,0,0,0
"2793_2821",2003,1,"uv","2111_2113.2002","F",0,"picnic",0,1,0,1
"2804_2895",2003,1,"dv","278_279b.2002","F",0,"river",0,0,1,1
"2805_2809",2003,1,"uv","2111_2113.2002","F",0,"picnic",0,0,0,0
"2808_2897",2003,1,"dv","1382_1397.2002","M",1,"bench",0,0,1,1
"2810_2818",2002,1,"uv","2111_2113.2001","F",0,"picnic",0,0,0,0
"2816_2813",2002,1,"uv","2111_2113.2001","M",1,"picnic",0,0,0,0
"2822_2876",2003,1,"uv","48_47.2002","F",0,"picnic",0,0,0,0
"2827_2870",2002,1,"dv","1382_1397.2001","M",1,"bench",0,0,0,0
"2829_2866",2002,1,"dv","278_279b.2001","F",1,"river",0,0,0,0
"2832_3111",2003,1,"uv","19_46.2002","F",0,"picnic",0,0,0,0
"2837_2845",2002,1,"dv","1382_1397.2001","M",0,"bench",0,0,0,0
"2847_2844",2002,1,"uv","2111_2113.2001","M",0,"picnic",0,0,0,0
"2849_2840",2002,1,"dv","1382_1397.2001","F",0,"bench",0,0,0,0
"2850_2831",2002,1,"uv","2007_2008.2001","F",1,"mm",0,1,0,1
"2854_2855",2002,1,"dv","278_279b.2001","M",0,"river",0,0,0,0
"2856_2843",2002,1,"dv","278_279b.2001","F",0,"river",0,0,0,0
"2859_2872",2002,1,"dv","272_273.2001","F",0,"river",0,0,1,1
"2860_2874",2002,1,"dv","1399_1400.2001","M",0,"river",0,1,0,1
"2865_2864",2002,1,"dv","278_279b.2001","M",1,"river",0,1,0,1
"2881_195",2003,1,"dv","1382_1397.2002","F",0,"bench",0,0,1,1
"2883_2798",2003,1,"uv","37_247.2002","M",1,"picnic",0,0,1,1
"2885_3106",2003,1,"dv","1399_1400.2002","M",1,"river",0,0,1,1
"2890_3108",2003,1,"dv","272_273.2002","M",0,"river",0,0,0,0
"2892_2795",2003,1,"dv","1382_1397.2002","F",1,"bench",0,0,0,0
"2894_2797",2003,1,"dv","1382_1397.2002","M",0,"bench",0,0,1,1
"2896_2819",2003,1,"dv","1382_1397.2002","M",1,"bench",0,0,1,1
"2898_2799",2003,1,"uv","2111_2113.2002","F",0,"picnic",0,1,0,1
"3105_3117",2003,1,"dv","2603_2606.2002","F",0,"river",0,0,1,1
"3110_3152",2003,1,"dv","2361_2351.2002","F",0,"gothictown",0,0,0,0
"3116_3102",2003,1,"dv","2603_2606.2002","M",1,"river",0,0,0,0
"3119_3122",2003,1,"dv","1399_1400.2002","M",0,"river",0,0,1,1
"3120_2683",2003,1,"uv","19_46.2002","F",0,"picnic",0,0,1,1
"3121_3173",2003,1,"dv","2361_2351.2002","F",0,"gothictown",0,0,1,1
"3138_3143",2003,1,"dv","2361_2351.2002","F",1,"gothictown",0,0,0,0
"3146_3145",2003,1,"uv","19_46.2002","F",0,"picnic",0,0,1,1
"3156_3153",2003,1,"uv","931_932.2002","M",1,"picnic",0,0,0,0
"3166_3174",2003,1,"uv","19_46.2002","F",0,"picnic",0,0,0,0
"3168_3134",2003,1,"uv","19_46.2002","M",0,"picnic",0,0,0,0
"3170_3175",2003,1,"uv","2732_2709.2002","M",1,"picnic",0,0,0,0
"3176_3179",2003,1,"dv","1382_1397.2002","F",0,"bench",0,0,1,1
"3178_3181",2003,1,"dv","272_273.2002","F",0,"river",0,0,0,0
"3180_3128",2003,1,"dv","2361_2351.2002","M",1,"gothictown",0,0,0,0
"3186_2768",2003,1,"dv","2603_2606.2002","F",1,"river",0,0,0,0
"3188_3194",2003,1,"dv","2603_2606.2002","M",1,"river",0,0,0,0
"3193_2753",2003,1,"dv","272_273.2002","F",1,"river",0,0,0,0
"3196_3189",2003,1,"dv","272_273.2002","M",0,"river",0,0,0,0
