uid,year,year_disp,new_disp,massjun,sire_pres,dam_pres,dam_rs,age,colony,col_disp,valley,litter_effect,year_uid,disp_yn
1009_1010,1972,1972,0,NA,0,0,no_wean,1,picnic,picnic,uv,785_781.1971,1972_1009_1010,0
100_10,1973,1973,0,990.0810326,0,1,wean,1,picnic,picnic,uv,683_700.1972,1973_100_10,0
100_110,1986,1986,0,929.3566194,0,1,wean,1,picnic,picnic,uv,855_859.1985,1986_100_110,0
1051_1052,1972,1972,1,1055.731487,0,1,wean,1,picnic,picnic,uv,834_850.1971,1972_1051_1052,1
1113_1111,1970,1970,0,1828.322801,0,0,no_wean,1,river,river,dv,42_50.1969,1970_1113_1111,0
1123_1116,1971,1971,1,1213.075995,0,1,no_wean,1,picnic,picnic,uv,683_700.1970,1971_1123_1116,1
1144_1141,1968,1968,0,1482.773408,0,0,no_wean,1,bench,bench,dv,NA,1968_1144_1141,0
1145_1139,1968,1968,0,1092.651573,0,1,wean,1,mm,mm,uv,424_425a.1967,1968_1145_1139,0
1146_1134,1968,1968,0,1160.992229,0,0,no_wean,1,bench,bench,dv,NA,1968_1146_1134,0
1147_1142,1968,1968,1,1063.668404,0,1,no_wean,1,bench,bench,dv,365_371.1967,1968_1147_1142,1
1149_1138,1968,1968,1,1006.926053,0,0,no_wean,1,bench,bench,dv,NA,1968_1149_1138,1
1156_1152,1971,1971,0,1333.039683,0,1,no_wean,1,river,river,dv,728_731.1970,1971_1156_1152,0
115_289,1985,1985,0,NA,0,0,no_wean,1,gothictown,gothictown,dv,NA,1985_115_289,0
1162_1154,1971,1971,0,1608.040781,0,1,no_wean,1,river,river,dv,728_731.1970,1971_1162_1154,0
1166_1115,1971,1971,0,1183.249347,0,1,no_wean,1,river,river,dv,728_731.1970,1971_1166_1115,0
116_175,1984,1984,1,649.7455474,0,1,no_wean,1,picnic,picnic,uv,174_175.1983,1984_116_175,1
1177_1179,1972,1972,0,996.7922545,0,0,no_wean,1,picnic,picnic,uv,785_781.1971,1972_1177_1179,0
1187_1189,1972,1972,0,NA,0,0,no_wean,1,river,river,dv,789_786.1971,1972_1187_1189,0
1194_1195,1972,1972,0,1037.385316,0,0,no_wean,1,picnic,picnic,uv,785_781.1971,1972_1194_1195,0
11_3,2000,2000,0,992.4932416,0,1,no_wean,1,picnic,picnic,uv,2111_2113.1999,2000_11_3,0
1200_1202,1993,1993,0,1672.899292,0,1,no_wean,1,gothictown,gothictown,dv,1620_1625.1992,1993_1200_1202,0
